time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-19T11:01:33.152Z,-0.6315,127.4997,27.07,4.6,mb,,88,1.4,0.7,us,us70007szg,2020-02-19T11:27:57.040Z,"81km NNW of Laiwui, Indonesia",earthquake,6.7,6.2,0.086,40,reviewed,us,us
2020-02-19T09:47:20.254Z,-0.0756,122.9961,117.25,4.7,mb,,70,0.985,0.7,us,us70007syx,2020-02-19T10:10:03.040Z,"56km SSW of Bilungala, Indonesia",earthquake,6.9,6.7,0.071,60,reviewed,us,us
2020-02-19T09:42:01.844Z,13.1598,146.4543,10,4.8,mb,,75,1.601,0.68,us,us70007sz4,2020-02-19T10:42:04.040Z,"174km ESE of Yigo Village, Guam",earthquake,7.8,1.9,0.053,109,reviewed,us,us
2020-02-19T09:38:24.441Z,77.4526,7.4622,10,4.5,mb,,50,2.027,0.85,us,us70007syw,2020-02-19T09:58:34.040Z,"210km WSW of Longyearbyen, Svalbard and Jan Mayen",earthquake,5.8,1.9,0.062,78,reviewed,us,us
2020-02-19T05:27:44.514Z,23.8199,121.6149,2.36,4.7,mb,,100,0.352,0.91,us,us70007swc,2020-02-19T05:47:01.040Z,"17km S of Hualian, Taiwan",earthquake,2.4,3.7,0.102,29,reviewed,us,us
2020-02-19T05:10:41.760Z,-19.5438,-173.0303,10,4.7,mb,,104,2.967,1.06,us,us70007swm,2020-02-19T06:05:01.040Z,"140km SE of Neiafu, Tonga",earthquake,9.2,1.9,0.126,19,reviewed,us,us
2020-02-18T23:07:04.921Z,38.8858,71.835,10,4.6,mb,,55,0.597,0.81,us,us70007sqx,2020-02-19T02:49:31.040Z,"47km SE of Karakenja, Tajikistan",earthquake,5.3,1.9,0.061,80,reviewed,us,us
2020-02-18T22:17:25.723Z,46.9493,116.1546,10,4.5,mb,,134,3.341,0.86,us,us70007spx,2020-02-19T00:24:24.040Z,"65km E of Dzuunbulag, Mongolia",earthquake,9,1.9,0.088,38,reviewed,us,us
2020-02-18T21:41:39.607Z,-20.774,-69.2972,84.8,4.5,mwr,,86,0.321,0.6,us,us70007snb,2020-02-18T22:42:35.801Z,"107km SE of Iquique, Chile",earthquake,2.7,5,,,reviewed,us,guc
2020-02-18T16:09:23.810Z,39.1142,27.8339,10,4.8,mb,,24,0.526,0.56,us,us70007sgb,2020-02-19T07:22:32.323Z,"14km E of Kirkagac, Turkey",earthquake,2.1,1.9,0.061,83,reviewed,us,us
2020-02-18T11:50:13.436Z,-15.1711,-178.5704,405.65,4.7,mb,,93,4.128,0.66,us,us70007sbx,2020-02-18T14:07:55.040Z,"105km SSW of Sigave, Wallis and Futuna",earthquake,11.4,6.6,0.031,321,reviewed,us,us
2020-02-18T11:28:05.746Z,37.976,72.6716,128.38,4.8,mb,,65,1.65,0.59,us,us70007sbn,2020-02-18T11:45:42.040Z,"109km NE of Roshtqal'a, Tajikistan",earthquake,4.5,7.5,0.064,76,reviewed,us,us
2020-02-18T08:21:36.304Z,-5.6085,154.3849,153.65,4.7,mb,,97,6.699,0.69,us,us70007sa4,2020-02-18T08:42:03.040Z,"144km WNW of Arawa, Papua New Guinea",earthquake,5.1,8.3,0.063,75,reviewed,us,us
2020-02-18T07:29:39.084Z,85.7399,22.6994,10,5.2,mww,,20,7.651,0.67,us,us70007s90,2020-02-18T07:48:37.040Z,"North of Svalbard",earthquake,7.3,1.9,0.08,15,reviewed,us,us
2020-02-18T06:22:06.185Z,2.0609,127.8965,50.39,4.8,mb,,109,1.385,0.95,us,us70007s8k,2020-02-18T07:13:47.040Z,"38km NNW of Tobelo, Indonesia",earthquake,4.5,7.2,0.073,59,reviewed,us,us
2020-02-18T05:32:44.838Z,-35.5992,-73.3072,13.45,5.1,mww,,110,1.15,0.73,us,us70007s7z,2020-02-18T08:19:28.979Z,"86km WSW of Constitucion, Chile",earthquake,3.5,5.4,0.069,20,reviewed,us,us
2020-02-18T02:58:08.338Z,5.4869,126.1431,102.96,4.5,mb,,159,1.669,0.92,us,us70007s6p,2020-02-18T03:16:51.040Z,"73km SE of Caburan, Philippines",earthquake,10.3,9.4,0.116,22,reviewed,us,us
