Fecha & Hora,PM10 (ug/m3),SO2  (ug/m3),Vel Viento  (m/s),Dir Viento (Grados),Temperatura (C°),Humedad (%)
27/06/2014 04:00:00 PM,28.2,ND,ND,ND,ND,ND
27/06/2014 05:00:00 PM,15.1,ND,ND,ND,ND,ND
27/06/2014 06:00:00 PM,16.7,ND,ND,ND,ND,ND
27/06/2014 07:00:00 PM,14.5,ND,ND,ND,ND,ND
27/06/2014 08:00:00 PM,14.6,ND,ND,ND,ND,ND
27/06/2014 09:00:00 PM,11.2,ND,ND,ND,ND,ND
27/06/2014 10:00:00 PM,12.2,ND,ND,ND,ND,ND
27/06/2014 11:00:00 PM,50.9,ND,ND,ND,ND,ND
28/06/2014 12:00:00 AM,68,ND,ND,ND,ND,ND
28/06/2014 01:00:00 AM,37.3,ND,ND,ND,ND,ND
28/06/2014 02:00:00 AM,31.2,ND,ND,ND,ND,ND
28/06/2014 03:00:00 AM,29.3,ND,ND,ND,ND,ND
28/06/2014 04:00:00 AM,27.5,ND,ND,ND,ND,ND
28/06/2014 05:00:00 AM,34,ND,ND,ND,ND,ND
28/06/2014 06:00:00 AM,29.6,ND,ND,ND,ND,ND
28/06/2014 07:00:00 AM,30.6,ND,ND,ND,ND,ND
28/06/2014 08:00:00 AM,37.2,ND,ND,ND,ND,ND
28/06/2014 09:00:00 AM,45.2,ND,ND,ND,ND,ND
28/06/2014 10:00:00 AM,44.2,ND,ND,ND,ND,ND
28/06/2014 11:00:00 AM,39.3,ND,ND,ND,ND,ND
28/06/2014 12:00:00 PM,36.8,ND,ND,ND,ND,ND
28/06/2014 01:00:00 PM,37.2,ND,ND,ND,ND,ND
28/06/2014 02:00:00 PM,37.2,ND,ND,ND,ND,ND
28/06/2014 03:00:00 PM,45.7,ND,ND,ND,ND,ND
28/06/2014 04:00:00 PM,52.3,ND,ND,ND,ND,ND
28/06/2014 05:00:00 PM,52.7,ND,ND,ND,ND,ND
28/06/2014 06:00:00 PM,51.6,ND,ND,ND,ND,ND
28/06/2014 07:00:00 PM,51.6,ND,ND,ND,ND,ND
28/06/2014 08:00:00 PM,34.8,ND,ND,ND,ND,ND
28/06/2014 09:00:00 PM,53.9,ND,ND,ND,ND,ND
28/06/2014 10:00:00 PM,42.7,ND,ND,ND,ND,ND
28/06/2014 11:00:00 PM,57.8,ND,ND,ND,ND,ND
29/06/2014 12:00:00 AM,36.5,ND,ND,ND,ND,ND
29/06/2014 01:00:00 AM,68.3,ND,ND,ND,ND,ND
29/06/2014 02:00:00 AM,70.3,ND,ND,ND,ND,ND
29/06/2014 03:00:00 AM,68.5,ND,ND,ND,ND,ND
29/06/2014 04:00:00 AM,46.5,ND,ND,ND,ND,ND
29/06/2014 05:00:00 AM,57.2,ND,ND,ND,ND,ND
29/06/2014 06:00:00 AM,47.5,ND,ND,ND,ND,ND
29/06/2014 07:00:00 AM,53.8,ND,ND,ND,ND,ND
29/06/2014 08:00:00 AM,61.4,ND,ND,ND,ND,ND
29/06/2014 09:00:00 AM,69.1,ND,ND,ND,ND,ND
29/06/2014 10:00:00 AM,70.3,ND,ND,ND,ND,ND
29/06/2014 11:00:00 AM,56.6,ND,ND,ND,ND,ND
29/06/2014 12:00:00 PM,30.6,ND,ND,ND,ND,ND
29/06/2014 01:00:00 PM,45,ND,ND,ND,ND,ND
29/06/2014 02:00:00 PM,59.2,ND,ND,ND,ND,ND
29/06/2014 03:00:00 PM,51.2,ND,ND,ND,ND,ND
29/06/2014 04:00:00 PM,25.6,ND,ND,ND,ND,ND
29/06/2014 05:00:00 PM,22.7,ND,ND,ND,ND,ND
29/06/2014 06:00:00 PM,22.1,ND,ND,ND,ND,ND
29/06/2014 07:00:00 PM,20.7,ND,ND,ND,ND,ND
29/06/2014 08:00:00 PM,15,ND,ND,ND,ND,ND
29/06/2014 09:00:00 PM,12.1,ND,ND,ND,ND,ND
29/06/2014 10:00:00 PM,12,ND,ND,ND,ND,ND
29/06/2014 11:00:00 PM,23.3,ND,ND,ND,ND,ND
30/06/2014 12:00:00 AM,35.4,ND,ND,ND,ND,ND
30/06/2014 01:00:00 AM,36.8,ND,ND,ND,ND,ND
30/06/2014 02:00:00 AM,38.7,ND,ND,ND,ND,ND
30/06/2014 03:00:00 AM,16.7,ND,ND,ND,ND,ND
30/06/2014 04:00:00 AM,11,ND,ND,ND,ND,ND
30/06/2014 05:00:00 AM,25.4,ND,ND,ND,ND,ND
30/06/2014 06:00:00 AM,12.8,ND,ND,ND,ND,ND
30/06/2014 07:00:00 AM,24.4,ND,ND,ND,ND,ND
30/06/2014 08:00:00 AM,19,ND,ND,ND,ND,ND
30/06/2014 09:00:00 AM,32.3,ND,ND,ND,ND,ND
30/06/2014 10:00:00 AM,32.6,ND,ND,ND,ND,ND
30/06/2014 11:00:00 AM,27.3,ND,ND,ND,ND,ND
30/06/2014 12:00:00 PM,23.7,ND,ND,ND,ND,ND
30/06/2014 01:00:00 PM,27.7,ND,ND,ND,ND,ND
30/06/2014 02:00:00 PM,23.9,ND,ND,ND,ND,ND
30/06/2014 03:00:00 PM,30.5,ND,ND,ND,ND,ND
30/06/2014 04:00:00 PM,26.5,ND,ND,ND,ND,ND
30/06/2014 05:00:00 PM,23.8,ND,ND,ND,ND,ND
30/06/2014 06:00:00 PM,17.4,ND,ND,ND,ND,ND
30/06/2014 07:00:00 PM,15.4,ND,ND,ND,ND,ND
30/06/2014 08:00:00 PM,13.5,ND,ND,ND,ND,ND
30/06/2014 09:00:00 PM,13.5,ND,ND,ND,ND,ND
30/06/2014 10:00:00 PM,8.8,ND,ND,ND,ND,ND
30/06/2014 11:00:00 PM,8.7,ND,ND,ND,ND,ND
01/07/2014 12:00:00 AM,37.8,ND,ND,ND,ND,ND
01/07/2014 01:00:00 AM,31.5,ND,ND,ND,ND,ND
01/07/2014 02:00:00 AM,37.6,ND,ND,ND,ND,ND
01/07/2014 03:00:00 AM,21.5,ND,ND,ND,ND,ND
01/07/2014 04:00:00 AM,20.4,ND,ND,ND,ND,ND
01/07/2014 05:00:00 AM,25.2,ND,ND,ND,ND,ND
01/07/2014 06:00:00 AM,24.9,ND,ND,ND,ND,ND
01/07/2014 07:00:00 AM,35.1,ND,ND,ND,ND,ND
01/07/2014 08:00:00 AM,47.6,ND,ND,ND,ND,ND
01/07/2014 09:00:00 AM,61.4,ND,ND,ND,ND,ND
01/07/2014 10:00:00 AM,65.6,ND,ND,ND,ND,ND
01/07/2014 11:00:00 AM,49.8,ND,ND,ND,ND,ND
01/07/2014 12:00:00 PM,45.2,ND,ND,ND,ND,ND
01/07/2014 01:00:00 PM,48.2,ND,ND,ND,ND,ND
01/07/2014 02:00:00 PM,49.1,ND,ND,ND,ND,ND
01/07/2014 03:00:00 PM,44.1,ND,ND,ND,ND,ND
01/07/2014 04:00:00 PM,55.9,ND,ND,ND,ND,ND
01/07/2014 05:00:00 PM,26.9,ND,ND,ND,ND,ND
01/07/2014 06:00:00 PM,17.4,ND,ND,ND,ND,ND
01/07/2014 07:00:00 PM,13.2,ND,ND,ND,ND,ND
01/07/2014 08:00:00 PM,8.3,ND,ND,ND,ND,ND
01/07/2014 09:00:00 PM,8.9,ND,ND,ND,ND,ND
01/07/2014 10:00:00 PM,11.6,ND,ND,ND,ND,ND
